Code,Hospital Outpatient Price
10005,$148
10007,$151
10009,$154
10021,N/A
10030,$159
10060,$59
10061,$111
10080,$154
10081,$167
10120,$95
10121,$344
10140,N/A
10160,$94
10180,$576
11000,N/A
11010,$188
11011,$192
11012,$622
11042,$86
11043,$148
11044,$352
11102,$45
11104,N/A
11106,N/A
11307,$50
11308,$null
11310,$46
11311,$50
11312,$89
11313,$93
11400,N/A
11401,$95
11402,N/A
11403,N/A
11404,$340
11406,$357
11420,N/A
11421,N/A
11422,N/A
11423,N/A
11424,$null
11426,$593
11440,N/A
11441,N/A
11442,N/A
11443,N/A
11444,$352
11446,$603
11450,$592
11451,$606
11462,$590
11463,$606
11470,$597
11471,$610
11600,N/A
11601,$163
11602,$106
11603,$171
11604,$175
11606,$369
11620,N/A
11621,$163
11622,$167
11623,N/A
11624,$354
11626,$597
11640,$null
11641,$164
11642,$169
11643,N/A
11644,$363
11646,$617
11750,$95
11755,N/A
11760,N/A
11762,N/A
11770,$577
11771,$630
11772,$655
11900,$null
11960,$883
11970,"$1,474"
11971,$650
12005,$93
12006,$97
12007,$66
12015,$56
12016,$99
12017,$105
12018,$71
12020,$156
12021,$102
12031,$104
12032,$112
12034,$null
12035,$122
12036,$174
12037,$411
12041,$103
12042,$113
12044,$null
12045,$172
12046,$181
12047,$416
12051,$108
12052,$114
12053,$117
12054,$118
12055,$134
12056,$150
12057,$157
13100,$158
13101,$167
13120,$164
13121,$169
13131,$null
13132,$177
13151,$null
13152,$null
13160,$null
14000,$446
14001,$475
14020,$458
14021,$486
14040,$469
14041,$null
14060,$477
14061,$507
14301,$853
14302,$null
14350,$479
15002,$389
15004,$169
15050,$209
15100,$487
15110,$487
15115,$483
15120,$null
15130,$464
15135,$831
15150,$473
15155,$826
15200,$479
15220,$467
15240,$503
15260,$513
15271,$363
15273,$720
15275,N/A
15277,$null
15570,$490
15572,$828
15574,$492
15576,$474
15600,$725
15610,$395
15620,$411
15630,$414
15650,$426
15730,$862
15731,$878
15733,$885
15734,$977
15736,$null
15738,$931
15740,$512
15750,$867
15760,$484
15769,$777
15770,$816
15771,$784
15773,$445
15777,$null
15780,$671
15781,$218
15782,N/A
15783,$145
15819,$504
15820,$null
15821,$455
15822,$425
15823,$455
15832,$722
15833,$713
15834,$716
15835,$724
15836,$698
15837,$682
15838,$669
15839,$null
15840,$881
15841,"$1,031"
15842,$874
15845,$892
15851,N/A
15920,$665
15922,$840
15931,$680
15933,$713
15934,$876
15935,$910
15936,$523
15937,$550
15940,$681
15941,$723
15944,$867
15945,$548
15946,$663
15950,$433
15951,$718
15952,$527
15953,$881
15956,$580
15958,$914
16025,$null
16030,$100
16035,$113
17004,$94
17106,$129
17107,$189
17108,$450
17264,$100
17266,$104
17270,$56
17271,$58
17273,$101
17274,$107
17276,$null
17281,$98
17282,$101
17283,$108
17284,$157
17286,$null
17311,$187
17313,$180
19000,N/A
19020,$370
19081,$339
19082,$null
19083,$337
19085,$342
19100,$321
19101,$770
19105,$767
19110,$796
19112,$790
19120,$808
19125,$817
19296,"$1,673"
19298,"$1,303"
19300,$811
19301,$856
19302,"$1,421"
19303,"$1,431"
19307,"$1,474"
19316,"$1,398"
19318,"$1,456"
19325,"$1,753"
19328,$835
19330,$853
19340,"$1,391"
19342,"$1,782"
19350,$858
19355,$847
19357,"$1,860"
19370,$858
19371,$866
19380,"$1,401"
19396,$753
20100,$null
20103,$375
20150,$814
20200,$326
20205,$571
20206,$319
20220,$324
20225,$332
20240,$568
20245,$608
20250,$693
20251,"$1,445"
20500,N/A
20520,N/A
20525,$589
20526,N/A
20527,N/A
20550,N/A
20551,N/A
20552,N/A
20553,N/A
20555,$681
20600,N/A
20604,N/A
20605,N/A
20606,N/A
20610,N/A
20611,N/A
20612,N/A
20615,$166
20650,$649
20661,$null
20662,$410
20663,$712
20665,$94
20670,$null
20680,$null
20690,"$1,481"
20692,"$1,855"
20693,"$1,451"
20694,$374
20696,"$1,861"
20697,$306
20822,$654
20900,$null
20902,"$1,416"
20910,$214
20912,$778
20920,$426
20922,$445
20924,"$1,463"
20950,$151
20972,"$1,919"
20973,"$1,950"
20982,"$1,702"
20983,"$1,428"
21010,$758
21011,N/A
21012,$375
21013,$387
21014,$644
21015,$678
21016,$739
21025,"$1,245"
21026,"$1,199"
21029,$736
21030,N/A
21031,N/A
21032,N/A
21034,"$1,336"
21040,$684
21044,"$1,284"
21046,"$1,308"
21047,"$1,352"
21048,"$1,310"
21050,"$1,284"
21060,"$1,268"
21070,"$1,235"
21073,N/A
21076,$427
21077,"$1,454"
21079,$841
21080,$870
21081,N/A
21082,$831
21083,$814
21084,$846
21085,$140
21086,$863
21087,N/A
21100,"$1,185"
21110,$null
21116,$null
21120,"$1,215"
21121,$717
21122,"$1,262"
21123,$778
21125,"$1,246"
21127,"$1,266"
21137,$null
21138,"$1,295"
21139,"$1,329"
21150,"$1,437"
21181,"$1,261"
21183,$null
21194,"$1,392"
21195,"$1,376"
21198,"$1,312"
21199,"$1,313"
21206,"$1,304"
21208,N/A
21209,"$1,234"
21210,"$1,263"
21215,"$1,269"
21230,"$1,262"
21235,"$1,227"
21240,"$1,319"
21242,"$1,313"
21243,"$1,959"
21244,"$1,312"
21245,$null
21246,"$1,281"
21248,"$1,270"
21249,"$1,332"
21260,"$1,383"
21267,"$1,428"
21270,"$1,262"
21275,"$1,281"
21280,$728
21282,$691
21295,$329
21296,$693
21315,$301
21320,$631
21325,$701
21330,"$1,220"
21335,$754
21336,$741
21337,$672
21338,"$1,247"
21339,"$1,264"
21340,$761
21345,$417
21355,$678
21356,"$1,194"
21360,"$1,219"
21365,"$1,327"
21390,"$1,273"
21395,$null
21400,$137
21401,$355
21406,"$1,230"
21407,"$1,241"
21421,$720
21440,N/A
21445,"$1,238"
21450,$198
21451,$415
21452,"$1,204"
21453,"$1,297"
21454,"$1,211"
21461,"$1,324"
21462,"$1,342"
21465,"$1,271"
21470,$null
21480,$50
21485,$443
21490,$767
21497,$null
21501,$608
21502,$716
21550,$338
21552,$629
21554,$685
21555,$369
21556,$646
21557,$null
21558,$804
21600,"$1,475"
21602,$null
21610,$857
21685,"$1,308"
21700,"$1,432"
21720,$723
21725,$242
21820,$74
21920,N/A
21925,$383
21930,$380
21931,$401
21932,$672
21933,$686
21935,$742
21936,$819
22102,"$1,515"
22310,$103
22315,$771
22505,$331
22510,$700
22511,$null
22512,$null
22513,"$1,462"
22514,"$1,455"
22551,"$1,969"
22554,"$1,883"
22586,$null
22612,"$1,944"
22614,$null
22802,$null
22819,$null
22856,"$1,953"
22867,"$1,844"
22869,"$1,717"
22900,$653
22901,$672
22902,$374
22903,$628
22904,$747
22905,$802
23000,$612
23020,$753
23030,$591
23031,$585
23035,$440
23040,$758
23044,$728
23065,N/A
23066,$614
23071,$391
23073,$679
23075,$373
23076,$649
23077,$null
23078,$823
23100,$717
23101,$708
23105,"$1,491"
23106,$716
23107,"$1,495"
23120,$733
23125,$757
23130,$739
23140,$727
23145,$754
23146,"$1,487"
23150,$749
23155,"$1,521"
23156,"$1,498"
23170,$729
23172,$730
23174,$null
23180,"$1,494"
23182,"$1,497"
23184,"$1,510"
23190,$731
23195,"$1,511"
23330,$341
23333,$null
23334,$750
23395,"$1,616"
23397,"$1,588"
23400,"$1,555"
23405,"$1,485"
23406,"$1,507"
23410,"$1,525"
23412,"$1,532"
23415,"$1,502"
23420,"$1,556"
23430,"$1,511"
23440,"$1,513"
23450,"$1,550"
23455,"$1,558"
23460,"$1,578"
23462,"$1,574"
23465,"$1,584"
23466,"$1,585"
23470,"$1,868"
23472,$null
23480,"$1,526"
23485,"$1,820"
23490,"$1,533"
23491,"$1,833"
23500,$91
23505,$374
23515,"$1,506"
23520,$355
23525,$118
23530,"$1,478"
23532,"$1,488"
23540,$92
23545,$110
23550,"$1,477"
23552,"$1,492"
23570,$93
23575,$383
23585,$null
23600,$108
23605,$392
23615,"$1,807"
23616,$null
23620,$97
23625,$378
23630,"$1,518"
23650,$null
23655,$388
23660,"$1,480"
23665,$387
23670,$null
23675,$407
23680,"$1,814"
23700,$345
23800,$null
23802,$null
23921,$441
23930,$583
23931,$340
23935,$719
24000,$712
24006,$758
24065,N/A
24066,$625
24071,$621
24073,$678
24075,$373
24076,$649
24077,$743
24079,$802
24100,$700
24101,$716
24102,$739
24105,$688
24110,$734
24115,"$1,510"
24116,"$1,533"
24120,$722
24125,$740
24126,$null
24130,$718
24134,"$1,511"
24136,$742
24138,"$1,500"
24140,$756
24145,"$1,481"
24147,$741
24149,"$1,597"
24150,$null
24152,"$1,627"
24155,$null
24160,$864
24164,$null
24200,N/A
24201,$621
24300,$394
24301,"$1,512"
24305,$732
24310,$null
24320,"$1,518"
24330,"$1,506"
24331,"$1,519"
24332,$null
24340,"$1,482"
24341,"$1,512"
24342,"$1,516"
24343,$758
24344,"$1,582"
24345,"$1,505"
24346,"$1,851"
24357,$699
24358,$722
24359,$748
24360,"$1,542"
24361,"$1,831"
24362,"$1,842"
24363,"$1,917"
24365,$null
24366,"$1,767"
24370,"$1,934"
24371,"$1,979"
24400,"$1,527"
24410,"$1,841"
24420,"$1,573"
24430,$null
24435,"$1,846"
24470,$750
24495,"$1,545"
24498,"$1,804"
24500,$112
24505,$397
24515,"$1,806"
24516,"$1,802"
24530,$115
24535,$421
24538,"$1,520"
24545,"$1,816"
24546,"$1,837"
24560,$104
24565,$406
24566,$450
24575,"$1,778"
24576,$108
24577,$408
24579,"$1,798"
24582,"$1,526"
24586,"$1,846"
24587,$null
24600,$113
24605,$402
24615,"$1,505"
24620,$424
24635,"$1,497"
24640,$59
24650,$94
24655,$388
24665,$null
24666,"$1,777"
24670,$99
24675,$390
24685,"$1,493"
24800,"$1,528"
24802,"$1,830"
24920,$null
24925,$730
25000,$375
25001,$686
25020,$452
25023,$875
25024,$771
25025,$548
25028,$753
25031,$380
25035,"$1,481"
25040,$727
25065,N/A
25066,$614
25071,$392
25073,$647
25075,$371
25076,$null
25077,$null
25078,$771
25085,$null
25100,$686
25101,$697
25105,$713
25107,$739
25109,$null
25110,$375
25111,$371
25112,$384
25115,$457
25116,$737
25118,$383
25119,$716
25120,$716
25125,$425
25126,$736
25130,$706
25135,"$1,475"
25136,"$1,463"
25145,$720
25150,$729
25151,$732
25210,$715
25215,$739
25230,$703
25240,$702
25248,$391
25250,$null
25251,$null
25259,$393
25260,$743
25263,"$1,490"
25265,$766
25270,$715
25272,$728
25274,$null
25275,$750
25280,$729
25290,$703
25295,$721
25300,$753
25301,$744
25310,$740
25312,$759
25315,"$1,516"
25316,"$1,544"
25320,"$1,560"
25332,$784
25335,$803
25337,"$1,539"
25350,"$1,497"
25355,$768
25360,"$1,494"
25365,"$1,814"
25370,$816
25375,$805
25390,"$1,515"
25391,"$1,829"
25392,"$1,563"
25393,"$1,586"
25394,$772
25400,"$1,522"
25405,"$1,568"
25415,"$1,554"
25420,"$1,593"
25425,"$1,554"
25426,$838
25430,$762
25431,"$1,519"
25440,"$1,516"
25441,"$1,818"
25442,"$1,792"
25443,"$1,519"
25444,"$1,795"
25445,$null
25446,"$1,863"
25447,$781
25449,"$1,567"
25450,$739
25455,$761
25490,"$1,506"
25491,"$1,779"
25492,$796
25500,$97
25505,$399
25515,"$1,497"
25520,$416
25525,"$1,520"
25526,"$1,553"
25530,$94
25535,$136
25545,"$1,488"
25560,$97
25565,$null
25574,"$1,498"
25575,"$1,542"
25600,$110
25605,$null
25606,$750
25607,"$1,511"
25608,"$1,528"
25609,"$1,572"
25622,$102
25624,$396
25628,"$1,506"
25630,$102
25635,$392
25645,$730
25650,$106
25651,$714
25652,"$1,487"
25660,$135
25670,"$1,484"
25671,$723
25675,$128
25676,"$1,489"
25680,$151
25685,"$1,509"
25690,$405
25695,"$1,489"
25800,"$1,508"
25805,"$1,531"
25810,"$1,804"
25820,"$1,492"
25825,"$1,521"
25830,$null
25907,$null
25922,$435
25929,$466
25931,$774
26010,$null
26011,$344
26020,$727
26025,$700
26030,$714
26034,$416
26035,$787
26037,$728
26040,$369
26045,$711
26055,$364
26060,$357
26070,$371
26075,$684
26080,$386
26100,$684
26105,$685
26110,$371
26111,$391
26113,$417
26115,$374
26116,$413
26117,$689
26118,$748
26121,$736
26123,$783
26130,$710
26135,$726
26140,$408
26145,$409
26160,$369
26170,$388
26180,$396
26185,$418
26200,$396
26205,"$1,484"
26210,$396
26215,$729
26230,$716
26235,$404
26236,$394
26250,$827
26260,$774
26262,$432
26320,$378
26340,$378
26341,$59
26350,$764
26352,"$1,528"
26356,$774
26357,$793
26358,"$1,558"
26370,$771
26372,"$1,544"
26373,$791
26390,"$1,537"
26392,"$1,561"
26410,$425
26412,$758
26415,$785
26416,$799
26418,$430
26420,$763
26426,$717
26428,$774
26432,$414
26433,$730
26434,$null
26437,$748
26440,$435
26442,$812
26445,$736
26449,$756
26450,$708
26455,$398
26460,$null
26471,$747
26474,$436
26476,$744
26477,$741
26478,$747
26479,$750
26480,$772
26483,$null
26485,$null
26489,$807
26490,$null
26492,$800
26494,$null
26496,$null
26497,$null
26498,$849
26499,$789
26500,"$1,500"
26502,$766
26508,$751
26510,$null
26516,$764
26517,$788
26518,"$1,537"
26520,$751
26525,$442
26530,"$1,471"
26531,"$1,489"
26535,$704
26536,"$1,512"
26540,$755
26541,$782
26542,$759
26545,$762
26546,"$1,569"
26548,$775
26550,$null
26555,"$1,637"
26560,$432
26561,$811
26562,$889
26565,$757
26567,$759
26568,"$1,547"
26580,$null
26587,$823
26590,$589
26591,$713
26593,$744
26596,$778
26600,$103
26605,$104
26607,$718
26608,$713
26615,$731
26641,$null
26645,$386
26650,$713
26665,$null
26670,$108
26675,$null
26676,$718
26685,$731
26686,$740
26700,$108
26705,$386
26706,$706
26715,$731
26720,$83
26725,$106
26727,$711
26735,$735
26740,$89
26742,$374
26746,$763
26750,$83
26755,$100
26756,$701
26765,$717
26770,$98
26775,$123
26776,$706
26785,$725
26820,"$1,528"
26841,$null
26842,"$1,528"
26843,"$1,518"
26844,"$1,534"
26850,"$1,509"
26852,$null
26860,$null
26862,$768
26910,$767
26951,$756
26952,$752
26990,$751
26991,$411
27000,$383
27001,$723
27003,"$1,482"
27006,$758
27033,"$1,555"
27035,$837
27040,$347
27041,$448
27043,$634
27045,$686
27047,$613
27048,$662
27049,$821
27050,$387
27052,$421
27059,$896
27060,"$1,456"
27062,$null
27065,"$1,467"
27066,$778
27067,"$1,568"
27080,$717
27086,$574
27087,$738
27097,$null
27098,$754
27100,"$1,528"
27105,$789
27110,"$1,555"
27111,$795
27130,$null
27197,$70
27198,$106
27200,$83
27202,$721
27220,$126
27230,$140
27238,$400
27246,$122
27250,$79
27252,$454
27256,$91
27257,$377
27265,$128
27266,$422
27267,$705
27275,$342
27279,"$1,790"
27301,$642
27305,$712
27306,$684
27307,$697
27310,$761
27323,$342
27324,$623
27325,$480
27326,$471
27327,$370
27328,$665
27329,$746
27330,$701
27331,$711
27332,$745
27333,$734
27334,$752
27335,"$1,515"
27337,$624
27339,$690
27340,$691
27345,$713
27347,$721
27350,"$1,493"
27355,$737
27356,"$1,779"
27357,"$1,525"
27360,$795
27364,$848
27372,$620
27380,"$1,487"
27381,"$1,526"
27385,"$1,484"
27386,"$1,533"
27390,$706
27391,$731
27392,$758
27393,$null
27394,"$1,493"
27395,$791
27396,"$1,486"
27397,"$1,544"
27400,"$1,501"
27403,"$1,491"
27405,"$1,497"
27407,"$1,521"
27409,"$1,554"
27412,"$1,687"
27415,"$1,903"
27416,"$1,557"
27418,"$1,526"
27420,"$1,512"
27422,"$1,510"
27424,"$1,512"
27425,$707
27427,"$1,504"
27428,"$1,853"
27429,"$1,881"
27430,"$1,510"
27435,$776
27437,"$1,495"
27438,"$1,798"
27440,"$1,790"
27441,"$1,795"
27442,"$1,804"
27443,"$1,794"
27446,"$1,858"
27447,"$1,884"
27475,"$1,495"
27479,"$1,545"
27496,$726
27497,$732
27498,$437
27499,"$1,503"
